1	4	15
1	15	5
1	5	6
1	6	4
2	15	12
2	12	1
2	1	3
2	3	15
3	12	8
3	8	5
3	5	14
3	14	12
4	12	13
4	13	16
4	16	8
4	8	12
5	7	3
5	3	7
5	7	11
5	11	7
6	1	12
6	12	7
6	7	11
6	11	1
7	8	5
7	5	11
7	11	7
7	7	8
8	5	8
8	8	12
8	12	5
9	16	4
9	4	7
9	7	10
9	10	16
10	8	15
10	15	8
11	2	15
11	15	2
12	1	6
12	6	4
12	4	1
13	4	7
13	7	12
13	12	16
13	16	4
14	15	5
14	5	12
14	12	15
15	15	5
15	5	1
15	1	7
15	7	15
16	5	8
16	8	1
16	1	11
16	11	5
17	4	1
17	1	12
17	12	6
17	6	4
18	4	10
18	10	3
18	3	1
18	1	4
19	12	8
19	8	12
19	12	13
19	13	12
20	12	5
20	5	12
21	16	1
21	1	7
21	7	3
21	3	16
22	11	1
22	1	5
22	5	15
22	15	11
23	11	13
23	13	16
23	16	10
23	10	11
24	7	11
24	11	5
24	5	4
24	4	7
25	11	16
25	16	7
25	7	11
26	11	5
26	5	1
26	1	5
26	5	11
27	7	6
27	6	10
27	10	7
28	16	11
28	11	7
28	7	11
28	11	16
29	12	8
29	8	12
30	5	7
30	7	3
30	3	4
30	4	5
31	2	5
31	5	8
31	8	15
31	15	2
32	5	3
32	3	7
32	7	2
32	2	5
33	2	12
33	12	5
33	5	2
34	5	7
34	7	5
34	5	2
34	2	5
35	4	12
35	12	1
35	1	4
36	4	5
36	5	3
36	3	6
36	6	4
37	11	16
37	16	1
37	1	11
38	3	5
38	5	16
38	16	5
38	5	3
39	4	1
39	1	16
39	16	4
40	15	7
40	7	3
40	3	12
40	12	15
41	12	11
41	11	8
41	8	12
42	10	7
42	7	11
42	11	10
43	1	6
43	6	4
43	4	1
44	1	11
44	11	5
44	5	16
44	16	1
45	8	12
45	12	2
45	2	15
45	15	8
46	8	5
46	5	12
46	12	8
47	11	3
47	3	7
47	7	16
47	16	11
48	5	7
48	7	1
48	1	7
48	7	5
49	2	5
49	5	8
49	8	15
49	15	2
50	5	13
50	13	12
50	12	5
51	12	2
51	2	13
51	13	12
52	7	14
52	14	12
52	12	7
53	4	12
53	12	14
53	14	15
53	15	4
54	15	10
54	10	1
54	1	5
54	5	15
55	12	16
55	16	12
55	12	11
55	11	12
56	13	15
56	15	7
56	7	8
56	8	13
57	4	1
57	1	12
57	12	8
57	8	4
58	3	7
58	7	6
58	6	4
58	4	3
59	5	15
59	15	7
59	7	5
60	4	1
60	1	4
61	4	7
61	7	4
62	15	11
62	11	7
62	7	13
62	13	15
63	5	15
63	15	5
63	5	13
63	13	5
64	12	15
64	15	5
64	5	8
64	8	12
65	12	15
65	15	12
65	12	13
65	13	12
66	12	7
66	7	1
66	1	12
67	12	11
67	11	15
67	15	8
67	8	12
68	12	7
68	7	3
68	3	5
68	5	12
69	7	8
69	8	15
69	15	16
69	16	7
70	4	5
70	5	12
70	12	1
70	1	4
71	2	5
71	5	2
72	12	5
72	5	15
72	15	13
72	13	12
73	2	5
73	5	11
73	11	7
73	7	2
74	12	10
74	10	3
74	3	14
74	14	12
75	12	3
75	3	1
75	1	5
75	5	12
76	5	11
76	11	2
76	2	15
76	15	5
77	3	11
77	11	5
77	5	16
77	16	3
78	11	15
78	15	8
78	8	12
78	12	11
79	5	1
79	1	16
79	16	7
79	7	5
80	13	11
80	11	5
80	5	9
80	9	13
81	8	12
81	12	5
81	5	8
82	1	5
82	5	12
82	12	3
82	3	1
83	12	2
83	2	5
83	5	11
83	11	12
84	2	12
84	12	15
84	15	2
85	16	1
85	1	16
86	12	5
86	5	15
86	15	2
86	2	12
87	12	5
87	5	12
87	12	8
87	8	12
88	16	1
88	1	4
88	4	16
89	15	3
89	3	11
89	11	2
89	2	15
90	8	5
90	5	12
90	12	2
90	2	8
91	12	16
91	16	7
91	7	15
91	15	12
92	4	11
92	11	12
92	12	16
92	16	4
93	13	10
93	10	14
93	14	13
94	7	3
94	3	4
94	4	7
95	2	5
95	5	2
96	5	7
96	7	5
97	11	7
97	7	3
97	3	2
97	2	11
98	1	15
98	15	8
98	8	12
98	12	1
99	7	3
99	3	7
99	7	4
99	4	7
100	12	7
100	7	14
100	14	5
100	5	12
101	7	1
101	1	12
101	12	7
102	10	7
102	7	10
103	12	8
103	8	7
103	7	4
103	4	12
104	4	12
104	12	15
104	15	1
104	1	4
105	5	12
105	12	5
106	5	15
106	15	2
106	2	5
107	5	1
107	1	12
107	12	5
108	12	7
108	7	13
108	13	12
109	13	9
109	9	13
110	7	12
110	12	5
110	5	7
111	8	7
111	7	12
111	12	8
112	14	10
112	10	7
112	7	5
112	5	14
113	12	5
113	5	2
113	2	12
114	4	7
114	7	16
114	16	4
115	12	5
115	5	8
115	8	12
116	4	1
116	1	4
117	4	11
117	11	12
117	12	1
117	1	4
118	11	8
118	8	5
118	5	12
118	12	11
119	1	3
119	3	16
119	16	1
120	7	1
120	1	5
120	5	7
121	15	1
121	1	3
121	3	11
121	11	15
122	7	11
122	11	7
123	11	6
123	6	4
123	4	7
123	7	11
124	8	5
124	5	15
124	15	8
125	12	13
125	13	12
126	4	5
126	5	12
126	12	1
126	1	4
127	1	7
127	7	1
128	12	5
128	5	12
129	12	5
129	5	11
129	11	12
130	8	5
130	5	12
130	12	8
131	15	12
131	12	13
131	13	15
132	12	13
132	13	12
133	12	15
133	15	7
133	7	8
133	8	12
134	7	3
134	3	7
