0	108.242	43.966	5.089	107.845	5.041	59.984	162.815	127.735	49.646	78.022	140.971	140.312	127.633	94.884	7.575
111.801	0	110.782	108.89	0.306	108.236	84.687	55.623	24.966	75.207	38.12	33.388	32.729	24.784	16.364	110.397
48.634	117.468	0	52.102	107.096	52.054	98.194	156.499	130.09	87.856	103.738	150.943	150.284	128.602	103.615	54.041
3.685	105.787	47.818	0	105.966	0.382	58.105	160.936	125.856	47.767	75.567	138.516	137.857	125.714	93.005	9.066
111.975	0.306	111.055	109.06	0	109.012	84.876	55.99	21.341	78.887	38.3	33.568	32.909	24.952	21.978	110.565
3.637	105.84	47.77	0.382	105.918	0	58.057	160.888	125.808	47.719	75.513	138.322	137.663	125.66	92.957	9.012
66.828	82.655	98.178	63.913	87.459	63.865	0	131.426	96.777	16.11	66.169	109.003	108.344	94.536	71.521	61.636
165.428	56.255	155.516	162.513	55.842	162.465	129.661	0	48.279	129.959	90.938	37.919	37.26	48.088	71.537	162.269
130.382	21.803	128.619	127.467	21.625	127.419	92.708	48.294	0	93.006	59.619	13.1	12.441	0.182	34.584	129.386
52.069	74.807	83.419	49.154	79.138	49.106	16.259	130.454	95.805	0	58.32	107.332	106.673	94.67	63.376	47.732
80.475	37.935	95.96	77.564	38.115	77.501	63.079	91.539	60.979	58.392	0	70.664	70.005	59.989	25.151	79.662
144.431	34.665	143.412	141.52	34.845	140.535	108.649	37.531	13.047	107.771	70.75	0	0.659	12.865	50.535	142.699
143.772	34.006	142.753	140.861	34.186	139.495	107.99	36.872	12.388	107.112	70.091	0.659	0	12.206	49.876	141.653
130.522	21.621	128.693	127.097	21.789	127.043	92.868	47.741	0.182	93.597	56.335	12.918	12.259	0	35.82	129.204
97.293	15.538	102.587	94.378	19.904	94.33	75.301	71.494	36.845	62.697	23.618	49.08	48.421	37.57	0	96.151
5.706	108.697	50.388	9.395	108.948	9.341	60.917	163.33	128.699	50.572	78.37	141.864	141.205	128.517	95.462	0
