8	5	210	275	65
8	12	250	300	50
8	12	210	265	55
8	12	360	415	55
8	15	210	300	90
8	15	300	395	95
8	4	300	440	140
8	7	330	460	130
8	5	600	710	110
8	12	600	655	55
8	7	600	740	140
8	5	599	664	65
8	1	600	820	220
8	5	710	790	80
8	5	840	920	80
8	12	855	910	55
8	12	735	790	55
8	12	840	889	49
8	5	950	1030	80
8	12	1080	1135	55
8	5	1410	1480	70
2	5	240	250	10
2	5	210	230	20
2	12	210	270	60
2	15	210	250	40
2	5	870	880	10
2	5	770	790	20
2	12	730	790	60
2	12	850	910	60
2	5	1010	1030	20
2	5	1009	1019	10
2	5	900	920	20
2	12	970	1030	60
13	5	300	370	70
13	12	285	300	15
13	15	300	390	90
13	15	180	270	90
13	9	120	155	35
13	12	20	35	15
13	16	60	200	140
13	16	120	260	140
13	11	120	215	95
13	10	60	175	115
5	8	60	126	66
5	8	59	126	67
5	8	300	357	57
5	13	180	240	60
5	15	240	280	40
5	6	30	140	110
5	1	30	130	100
5	16	30	130	100
5	16	180	280	100
5	4	300	420	120
5	7	29	129	100
5	7	300	405	105
5	7	30	130	100
5	3	30	151	121
5	11	30	80	50
5	11	29	79	50
5	11	180	230	50
5	12	480	530	50
5	12	370	430	60
5	15	370	410	40
5	12	720	790	70
5	12	840	890	50
5	1	790	920	130
5	7	790	890	100
5	11	790	840	50
5	8	900	973	73
5	1	950	1065	115
5	7	930	1020	90
5	3	920	1040	120
5	11	970	1020	50
5	12	1110	1180	70
5	15	1110	1170	60
5	9	1110	1153	43
5	8	1110	1181	71
5	12	1000	1050	50
5	15	1109	1149	40
5	1	1110	1210	100
5	16	1110	1210	100
5	11	1110	1160	50
5	8	1245	1315	70
5	8	1370	1439	69
5	15	1260	1300	40
5	15	1410	1450	40
5	12	240	290	50
5	12	230	280	50
12	13	119	134	15
12	13	120	135	15
12	5	240	300	60
12	5	239	299	60
12	5	229	289	60
12	5	230	290	60
12	15	219	299	80
12	15	220	300	80
12	15	350	429	79
12	15	349	429	80
12	15	209	289	80
12	15	210	290	80
12	5	369	429	60
12	5	370	430	60
12	2	780	840	60
12	5	720	780	60
12	5	840	900	60
12	5	790	850	60
12	1	760	910	150
12	7	760	890	130
12	11	760	855	95
12	8	960	1015	55
12	2	959	1019	60
12	5	959	1019	60
12	5	958	1018	60
12	1	940	1115	175
